accession	gene	function	normal	MMS
YKL181W	PRS1	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis	Up	NA
YKL182W	FAS1	Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids	Down	NA
YKL184W	SPE1	Ornithine decarboxylase, catalyzes the first step in polyamine biosynthesis	NA	NA
YKL192C	ACP1	Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid	NA	NA
YKL193C	SDS22	Conserved nuclear regulatory subunit of Glc7p type 1 protein serine-threonine phosphatase (PP1), functions positively with Glc7p to promote dephosphorylation of nuclear substrates required for chromosome transmission during mitosis	NA	NA
YKL195W	MIA40	Essential protein of the mitochondrial intermembrane space (IMS)	NA	NA
YKL196C	YKT6	Vesicle membrane protein (v-SNARE) with acyltransferase activity	Down	NA
YKL198C	PTK1	Putative serine/threonine protein kinase that regulates spermine uptake	NA	NA
YKL201C	MNN4	Putative positive regulator of mannosylphosphate transferase (Mnn6p), involved in mannosylphosphorylation of N-linked oligosaccharides	NA	NA
YKL203C	TOR2	PIK-related protein kinase and rapamycin target	NA	NA
YKL207W	AIM27	Member of a transmembrane complex required for efficient folding of proteins in the ER	NA	NA
YKL209C	STE6	Plasma membrane ATP-binding cassette (ABC) transporter required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport	NA	NA
YKL210W	UBA1	Ubiquitin activating enzyme (E1), involved in ubiquitin-mediated protein degradation and essential for viability	Down	NA
YKL211C	TRP3	Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p	NA	NA
YKL212W	SAC1	Phosphatidylinositol phosphate (PtdInsP) phosphatase involved in hydrolysis of PtdIns[4]P	NA	NA
YKL213C	DOA1	WD repeat protein required for ubiquitin-mediated protein degradation, forms complex with Cdc48p, plays a role in controlling cellular ubiquitin concentration	NA	NA
YKL215C	OXP1	5-oxoprolinase	NA	NA
YKL216W	URA1	Dihydroorotate dehydrogenase, catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid	Up	Up
YKL218C	SRY1	3-hydroxyaspartate dehydratase, deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia	NA	NA
YKL220C	FRE2	Ferric reductase and cupric reductase, reduces siderophore-bound iron and oxidized copper prior to uptake by transporters	Down	NA
YKR001C	VPS1	Dynamin-like GTPase required for vacuolar sorting	Down	NA
YKR003W	OSH6	Member of an oxysterol-binding protein family with overlapping, redundant functions in sterol metabolism and which collectively perform a function essential for viability	NA	NA
YKR008W	RSC4	Component of the RSC chromatin remodeling complex	NA	NA
YKR009C	FOX2	Multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway	NA	NA
YKR014C	YPT52	Rab family GTPase, similar to Ypt51p and Ypt53p and to mammalian rab5	NA	NA
YKR021W	ALY1	Protein proposed to regulate the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane	NA	NA
YKR024C	DBP7	Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis	NA	NA
YKR026C	GCN3	Alpha subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2	NA	NA
YKR027W	BCH2	Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane	NA	NA
YKR029C	SET3	Defining member of the SET3 histone deacetylase complex which is a meiosis-specific repressor of sporulation genes	NA	NA
YKR031C	SPO14	Phospholipase D, catalyzes the hydrolysis of phosphatidylcholine, producing choline and phosphatidic acid	NA	NA
YKR039W	GAP1	General amino acid permease	NA	NA
YKR043C	YKR043C	Metal-independent fructose 1,6-bisphosphatase, may play a role in gluconeogenesis under metal-limiting conditions	NA	NA
YKR046C	PET10	Protein of unknown function that co-purifies with lipid particles	NA	NA
YKR048C	NAP1	Protein that interacts with mitotic cyclin Clb2p	Up	NA
YKR050W	TRK2	Component of the Trk1p-Trk2p potassium transport system	NA	NA
YKR052C	MRS4	Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane	NA	NA
YKR054C	DYN1	Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation	NA	NA
YKR056W	TRM2	tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation	NA	NA
YKR060W	UTP30	Subunit of U3-containing 90S preribosome complex involved in production of 18S rRNA and assembly of small ribosomal subunit	NA	NA
YKR062W	TFA2	TFIIE small subunit, involved in RNA polymerase II transcription initiation	NA	NA
YKR063C	LAS1	Essential nuclear protein possibly involved in bud formation and morphogenesis	NA	NA
YKR066C	CCP1	Mitochondrial cytochrome-c peroxidase	NA	NA
YKR067W	GPT2	Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER	NA	NA
YKR069W	MET1	S-adenosyl-L-methionine uroporphyrinogen III transmethylase, involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase	NA	NA
YKR071C	DRE2	Conserved component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery	NA	NA
YKR074W	AIM29	Putative protein of unknown function	NA	NA
YKR078W	YKR078W	Cytoplasmic protein of unknown function, has similarity to Vps5p	NA	NA
YKR079C	TRZ1	tRNA 3'-end processing endonuclease tRNase Z	NA	NA
YKR080W	MTD1	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase, plays a catalytic role in oxidation of cytoplasmic one-carbon units	NA	NA
YKR082W	NUP133	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC), localizes to both sides of the NPC, required to establish a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p	NA	NA
YKR090W	PXL1	LIM domain-containing protein that localizes to sites of polarized growth, required for selection and/or maintenance of polarized growth sites, may modulate signaling by the GTPases Cdc42p and Rho1p	NA	NA
YKR092C	SRP40	Nucleolar, serine-rich protein with a role in preribosome assembly or transport	NA	NA
YKR095W	MLP1	Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior	NA	NA
YKR097W	PCK1	Phosphoenolpyruvate carboxykinase, key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol	NA	NA
YKR102W	FLO10	Lectin-like protein with similarity to Flo1p, thought to be involved in flocculation	NA	NA
YKR103W	NFT1	Putative transporter of the multidrug resistance-associated protein (MRP) subfamily	NA	NA
YLL001W	DNM1	Dynamin-related GTPase required for mitochondrial fission and morphology	NA	NA
YLL003W	SFI1	Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C	NA	NA
YLL007C	YLL007C	Putative protein of unknown function	NA	NA
YLL008W	DRS1	Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 60S ribosomal subunits	Down	Down
YLL011W	SOF1	Essential protein required for biogenesis of 40S (small) ribosomal subunit	NA	NA
YLL012W	YEH1	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis	NA	NA
YLL013C	PUF3	Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement	NA	NA
YLL018C	DPS1	Aspartyl-tRNA synthetase, primarily cytoplasmic	NA	Down
YLL021W	SPA2	Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth	NA	NA
YLL024C	SSA2	ATP binding protein involved in protein folding and vacuolar import of proteins	Down	Down
YLL026W	HSP104	Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins	Down	NA
YLL027W	ISA1	Mitochondrial matrix protein involved in biogenesis of the iron-sulfur (Fe/S) cluster of Fe/S proteins, isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency	NA	NA
YLL029W	FRA1	Protein involved in negative regulation of transcription of iron regulon	NA	NA
YLL032C	YLL032C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments	NA	NA
YLL034C	RIX7	Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus	NA	NA
YLL040C	VPS13	Protein of unknown function	NA	NA
YLL041C	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain	NA	NA
YLL045C	RPL8B	Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein	NA	Down
YLL046C	RNP1	Ribonucleoprotein that contains two RNA recognition motifs (RRM)	NA	NA
YLL048C	YBT1	Transporter of the ATP-binding cassette (ABC) family involved in bile acid transport	NA	NA
YLL050C	COF1	Cofilin, promotes actin filament depolarization in a pH-dependent manner	Down	Down
YLL062C	MHT1	S-methylmethionine-homocysteine methyltransferase, functions along with Sam4p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio	NA	NA
YLR001C	YLR001C	Putative protein of unknown function	NA	NA
YLR002C	NOC3	Protein that forms a nuclear complex with Noc2p that binds to 66S ribosomal precursors to mediate their intranuclear transport	NA	NA
YLR010C	TEN1	Protein that regulates telomeric length	NA	NA
YLR014C	PPR1	Zinc finger transcription factor containing a Zn(2)-Cys(6) binuclear cluster domain, positively regulates transcription of genes involved in uracil biosynthesis	NA	NA
YLR017W	MEU1	Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway	NA	NA
YLR024C	UBR2	Cytoplasmic ubiquitin-protein ligase (E3)	NA	Down
YLR026C	SED5	cis-Golgi t-SNARE syntaxin required for vesicular transport between the ER and the Golgi complex, binds at least 9 SNARE proteins	NA	NA
YLR027C	AAT2	Cytosolic aspartate aminotransferase, involved in nitrogen metabolism	Down	Down
YLR028C	ADE16	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p	NA	NA
YLR029C	RPL15A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein	NA	NA
YLR032W	RAD5	DNA helicase proposed to promote replication fork regression during postreplication repair by template switching	NA	NA
YLR033W	RSC58	Component of the RSC chromatin remodeling complex	NA	NA
YLR035C	MLH2	Protein involved in the mismatch repair of certain frameshift intermediates and involved in meiotic recombination	NA	NA
YLR038C	COX12	Subunit VIb of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain	NA	NA
YLR039C	RIC1	Protein involved in retrograde transport to the cis-Golgi network	NA	NA
YLR043C	TRX1	Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance	Down	Down
YLR044C	PDC1	Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde	NA	Up
YLR045C	STU2	Microtubule-associated protein (MAP) of the XMAP215/Dis1 family	NA	NA
YLR048W	RPS0B	Protein component of the small (40S) ribosomal subunit, nearly identical to Rps0Ap	Down	NA
YLR053C	YLR053C	Putative protein of unknown function	NA	NA
YLR058C	SHM2	Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate	Down	Up
YLR059C	REX2	3'-5' RNA exonuclease	NA	NA
YLR060W	FRS1	Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme	NA	NA
YLR061W	RPL22A	Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Bp and to rat L22 ribosomal protein	NA	NA
YLR064W	PER33	Putative protein of unknown function	NA	NA
YLR067C	PET309	Specific translational activator for the COX1 mRNA, also influences stability of intron-containing COX1 primary transcripts	NA	NA
YLR069C	MEF1	Mitochondrial elongation factor involved in translational elongation	NA	NA
YLR071C	RGR1	Subunit of the RNA polymerase II mediator complex	NA	NA
YLR075W	RPL10	Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits	Down	Down
YLR085C	ARP6	Actin-related protein that binds nucleosomes	NA	NA
YLR086W	SMC4	Subunit of the condensin complex	NA	NA
YLR087C	CSF1	Protein required for fermentation at low temperature	NA	NA
YLR089C	ALT1	Alanine transaminase (glutamic pyruvic transaminase)	NA	NA
YLR090W	XDJ1	Putative chaperone, homolog of E. coli DnaJ, closely related to Ydj1p	NA	NA
YLR096W	KIN2	Serine/threonine protein kinase involved in regulation of exocytosis	NA	NA
YLR100W	ERG27	3-keto sterol reductase, catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis	Down	Down
YLR102C	APC9	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	NA	NA
YLR103C	CDC45	DNA replication initiation factor	NA	NA
YLR106C	MDN1	Huge dynein-related AAA-type ATPase (midasin), forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p)	NA	NA
YLR107W	REX3	RNA exonuclease	NA	NA
YLR109W	AHP1	Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage	NA	NA
YLR110C	CCW12	Cell wall mannoprotein, mutants are defective in mating and agglutination, expression is downregulated by alpha-factor	NA	NA
YLR113W	HOG1	Mitogen-activated protein kinase involved in osmoregulation via three independent osmosensors	NA	NA
